Quentin, x 291, y1896
Talbot, x 410, y2217
Chelsea, x 367, y2154
Mendoza, x 308, y2180
Seaford 9, x 240, y2221
Hancock, x 215, y2193
Zanzibar, x 219, y2149
Klein Station, x 294, y2129
Talisman, x 212, y2087
Endicott, x 264, y2065
Clairmont, x 416, y2094
Quest, x 440, y2054
Candor, x 339, y1991
Yeltsin, x 263, y2025
Clearway, x 224, y1999
Zuckerman, x 260, y1965
Doreas, x 328, y1933
Grendelsbane, x 377, y1885
Cerberus, x 916, y2837
Hallman, x 1001, y2456
Tahlman, x 924, y2372
Samson, x 704, y2273
Solan, x 869, y2273
Macgregor, x 800, y2245
Owens, x 733, y2232
Mylar, x 736, y2201
Barnett, x 764, y2224
Seljuk, x 572, y2281
Madras, x 604, y2233
Sallah, x 512, y2180
Corrigan, x 603, y2156
Mathias, x 664, y2092
Adler, x 548, y2097
Micah, x 561, y2069
Tredway, x 568, y2017
Solway, x 572, y1889
Elric, x 564, y1960
Allman, x 712, y2040
Welladay, x 776, y2145
Gualt, x 913, y2244
Seabring, x 956, y2360
Michael, x 1013, y2408
Elf, x 1073, y2440
Tambourin, x 1095, y2537
Gaston, x 985, y2573
Joust, x 941, y2517
Tequilla, x 984, y2429
Secour, x 752, y2464
Maastricht, x 860, y2393
Thetis, x 829, y2329
Lowell, x 733, y2369
Sun-Yat, x 660, y2325
Trevor’s Star, x 911, y2331
Gregor, x -410, y2199
Casca, x 637, y2077
Silesia, x -315, y2662
Basilisk, x 246, y2831
Slocum, x 210, y2343
Haven, x 1145, y2590
Manticore, x 172, y2019
Sol, x 0, y0
Lynx B (Terminus), x -1153, y51
Monica, x -2023, y-133
Mesa, x -780, y-591
Hennesy, x 2473, y501
Terra Haute, x 2537, y467
Erewhon, x 1543, y1573
Joshua, x 476, y-377
Sigma Draconis, x 17, y141
Durandel, x -600, y2147
Asgard, x -1088, y1479
Rasmussen, x -938, y1414
Midgard, x -1663, y2430
Meyers, x -2160, y-399
Taylor, x -2061, y-184
Zale, x -2254, y-69
Howard, x -1791, y-249
Saltash, x -1290, y-356
Lima, x 583, y501
Sankar, x 360, y630
Ajax, x 1316, y587
Dockhorn, x 1556, y591
Meroa, x 1363, y776
Johannsen, x 1196, y763
Limbo, x 952, y694
Sherkhan, x 836, y819
Alt, x 1016, y939
Theron, x 776, y994
Okada, x 532, y934
Basra, x 716, y1166
Degenhart, x 956, y1281
Tiberian, x 1055, y1410
Kay, x 1192, y1526
Congo, x 1432, y1633
Sprague, x 1427, y1410
Poul, x 1380, y1234
Edwin, x 1509, y1101
Maya, x 1552, y1333
Isaac, x 1770, y1470
Murray, x 1830, y1187
Robert, x 1715, y1123
Foshee, x -981, y703
Portillo, x -1431, y1346
Chomanand, x -1971, y1221
Tyrel, x -2340, y969
Osmani, x -2425, y1204
Corovic, x -2203, y1329
Marsh, x -531, y2541
Willis, x -245, y2874
Hendrickson, x -227, y2856
Jarmon, x -244, y2845
Terrance, x -167, y2789
Tumult, x -269, y2777
Sarah, x -359, y2828
Carlton, x -419, y2816
Brinkman, x -400, y2700
Hume, x -455, y2692
Breslau, x -496, y2688
Telmach, x -423, y2652
Libau, x -507, y2632
Gosset, x -483, y2660
Lua Hiler, x -451, y2596
Hillman, x -176, y2616
Typer’s Star, x -352, y2629
Zorester, x -396, y2573
Lutrell, x -251, y2568
Posnan, x -363, y2568
Arendscheldt, x -324, y2577
Sigma, x -299, y2564
Creswell, x -335, y2520
Hera, x -268, y2532
Saginaw, x -231, y2496
Psyche, x -316, y2484
Sachsen, x -467, y2544
Trellis, x -444, y2516
Sharon’s Star, x -359, y2549
Magyar, x -391, y2529
Schiller, x -415, y2540
Alizon, x 147, y2095
Yorik, x 119, y2186
Minorca, x -100, y2138
Reevesport, x -117, y2273
Reiko, x 155, y2268
Hannah’s Star, x 172, y2397
Gemini, x 191, y2450
Aphid, x 323, y2565
Nuada, x 269, y2422
Yalta, x 304, y2389
Santander, x 325, y2330
Suchien, x 255, y2310
Poicters, x 335, y2229
Minette, x 376, y1961
Quentin, x 291, y1896
Talbot, x 410, y2217
Chelsea, x 367, y2154
Mendoza, x 308, y2180
Seaford 9, x 240, y2221
Hancock, x 215, y2193
Zanzibar, x 219, y2149
Klein Station, x 294, y2129
Talisman, x 212, y2087
Endicott, x 264, y2065
Clairmont, x 416, y2094
Quest, x 440, y2054
Candor, x 339, y1991
Yeltsin, x 263, y2025
Clearway, x 224, y1999
Zuckerman, x 260, y1965
Doreas, x 328, y1933
Grendelsbane, x 377, y1885
Cerberus, x 916, y2837
Hallman, x 1001, y2456
Tahlman, x 924, y2372
Samson, x 704, y2273
Solan, x 869, y2273
Macgregor, x 800, y2245
Owens, x 733, y2232
Mylar, x 736, y2201
Barnett, x 764, y2224
Seljuk, x 572, y2281
Madras, x 604, y2233
Sallah, x 512, y2180
Corrigan, x 603, y2156
Mathias, x 664, y2092
Adler, x 548, y2097
Micah, x 561, y2069
Tredway, x 568, y2017
Solway, x 572, y1889
Elric, x 564, y1960
Allman, x 712, y2040
Welladay, x 776, y2145
Gualt, x 913, y2244
Seabring, x 956, y2360
Michael, x 1013, y2408
Elf, x 1073, y2440
Tambourin, x 1095, y2537
Gaston, x 985, y2573
Joust, x 941, y2517
Tequilla, x 984, y2429
Secour, x 752, y2464
Maastricht, x 860, y2393
Thetis, x 829, y2329
Lowell, x 733, y2369
Sun-Yat, x 660, y2325
Trevor’s Star, x 911, y2331
Gregor, x -410, y2199
Casca, x 637, y2077
Silesia, x -315, y2662
Basilisk, x 246, y2831
Slocum, x 210, y2343
Haven, x 1145, y2590
Manticore, x 172, y2019
Sol, x 0, y 0
Lynx B (Terminus), x -1153, y 51
Monica, x -2023, y -133
Mesa, x -780, y -591
Hennesy, x 2473, y 501
Terra Haute, x 2537, y 467
Erewhon, x 1543, y 1573
Joshua, x 476, y -377
Sigma Draconis, x 17, y 141
Durandel, x -600, y 2147
Asgard, x -1088, y 1479
Rasmussen, x -938, y 1414
Midgard, x -1663, y 2430
Meyers, x -2160, y -399
Taylor, x -2061, y -184
Zale, x -2254, y -69
Howard, x -1791, y -249
Saltash, x -1290, y -356
Lima, x 583, y 501
Sankar, x 360, y 630
Ajax, x 1316, y 587
Dockhorn, x 1556, y 591
Meroa, x 1363, y 776
Johannsen, x 1196, y 763
Limbo, x 952, y 694
Sherkhan, x 836, y 819
Alt, x 1016, y 939
Theron, x 776, y 994
Okada, x 532, y 934
Basra, x 716, y 1166
Degenhart, x 956, y 1281
Tiberian, x 1055, y 1410
Kay, x 1192, y 1526
Congo, x 1432, y 1633
Sprague, x 1427, y 1410
Poul, x 1380, y 1234
Edwin, x 1509, y 1101
Maya, x 1552, y 1333
Isaac, x 1770, y 1470
Murray, x 1830, y 1187
Robert, x 1715, y 1123
Foshee, x -981, y 703
Portillo, x -1431, y 1346
Chomanand, x -1971, y 1221
Tyrel, x -2340, y 969
Osmani, x -2425, y 1204
Corovic, x -2203, y 1329
Marsh, x -531, y 2541
Willis, x -245, y 2874
Hendrickson, x -227, y 2856
Jarmon, x -244, y 2845
Terrance, x -167, y 2789
Tumult, x -269, y 2777
Sarah, x -359, y 2828
Carlton, x -419, y 2816
Brinkman, x -400, y 2700
Hume, x -455, y 2692
Breslau, x -496, y 2688
Telmach, x -423, y 2652
Libau, x -507, y 2632
Gosset, x -483, y 2660
Lua Hiler, x -451, y 2596
Hillman, x -176, y 2616
Typer’s Star, x -352, y 2629
Zorester, x -396, y 2573
Lutrell, x -251, y 2568
Posnan, x -363, y 2568
Arendscheldt, x -324, y 2577
Sigma, x -299, y 2564
Creswell, x -335, y 2520
Hera, x -268, y 2532
Saginaw, x -231, y 2496
Psyche, x -316, y 2484
Sachsen, x -467, y 2544
Trellis, x -444, y 2516
Sharon’s Star, x -359, y 2549
Magyar, x -391, y 2529
Schiller, x -415, y 2540
Alizon, x 147, y 2095
Yorik, x 119, y 2186
Minorca, x -100, y 2138
Reevesport, x -117, y 2273
Reiko, x 155, y 2268
Hannah’s Star, x 172, y 2397
Gemini, x 191, y 2450
Aphid, x 323, y 2565
Nuada, x 269, y 2422
Yalta, x 304, y 2389
Santander, x 325, y 2330
Suchien, x 255, y 2310
Poicters, x 335, y 2229
Minette, x 376, y 1961
Quentin, x 291, y 1896
Talbot, x 410, y 2217
Chelsea, x 367, y 2154
Mendoza, x 308, y 2180
Seaford 9, x 240, y 2221
Hancock, x 215, y 2193
Zanzibar, x 219, y 2149
Klein Station, x 294, y 2129
Talisman, x 212, y 2087
Endicott, x 264, y 2065
Clairmont, x 416, y 2094
Quest, x 440, y 2054
Candor, x 339, y 1991
Yeltsin, x 263, y 2025
Clearway, x 224, y 1999
Zuckerman, x 260, y 1965
Doreas, x 328, y 1933
Grendelsbane, x 377, y 1885
Cerberus, x 916, y 2837
Hallman, x 1001, y 2456
Tahlman, x 924, y 2372
Samson, x 704, y 2273
Solan, x 869, y 2273
Macgregor, x 800, y 2245
Owens, x 733, y 2232
Mylar, x 736, y 2201
Barnett, x 764, y 2224
Seljuk, x 572, y 2281
Madras, x 604, y 2233
Sallah, x 512, y 2180
Corrigan, x 603, y 2156
Mathias, x 664, y 2092
Adler, x 548, y 2097
Micah, x 561, y 2069
Tredway, x 568, y 2017
Solway, x 572, y 1889
Elric, x 564, y 1960
Allman, x 712, y 2040
Welladay, x 776, y 2145
Gualt, x 913, y 2244
Seabring, x 956, y 2360
Michael, x 1013, y 2408
Elf, x 1073, y 2440
Tambourin, x 1095, y 2537
Gaston, x 985, y 2573
Joust, x 941, y 2517
Tequilla, x 984, y 2429
Secour, x 752, y 2464
Maastricht, x 860, y 2393
Thetis, x 829, y 2329
Lowell, x 733, y 2369
Sun-Yat, x 660, y 2325
Trevor’s Star, x 911, y 2331
Gregor, x -410, y 2199
Casca, x 637, y 2077
Silesia, x -315, y 2662
Basilisk, x 246, y 2831
Slocum, x 210, y 2343
Haven, x 1145, y 2590
Manticore, x 172, y 2019
Sol, x 0, y 0
Lynx B (Terminus), x -1153, y 51
Monica, x -2023, y -133
Mesa, x -780, y -591
Hennesy, x 2473, y 501
Terra Haute, x 2537, y 467
Erewhon, x 1543, y 1573
Joshua, x 476, y -377
Sigma Draconis, x 17, y 141
Durandel, x -600, y 2147
Asgard, x -1088, y 1479
Rasmussen, x -938, y 1414
Midgard, x -1663, y 2430
Meyers, x -2160, y -399
Taylor, x -2061, y -184
Zale, x -2254, y -69
Howard, x -1791, y -249
Saltash, x -1290, y -356
Lima, x 583, y 501
Sankar, x 360, y 630
Ajax, x 1316, y 587
Dockhorn, x 1556, y 591
Meroa, x 1363, y 776
Johannsen, x 1196, y 763
Limbo, x 952, y 694
Sherkhan, x 836, y 819
Alt, x 1016, y 939
Theron, x 776, y 994
Okada, x 532, y 934
Basra, x 716, y 1166
Degenhart, x 956, y 1281
Tiberian, x 1055, y 1410
Kay, x 1192, y 1526
Congo, x 1432, y 1633
Sprague, x 1427, y 1410
Poul, x 1380, y 1234
Edwin, x 1509, y 1101
Maya, x 1552, y 1333
Isaac, x 1770, y 1470
Murray, x 1830, y 1187
Robert, x 1715, y 1123
Foshee, x -981, y 703
Portillo, x -1431, y 1346
Chomanand, x -1971, y 1221
Tyrel, x -2340, y 969
Osmani, x -2425, y 1204
Corovic, x -2203, y 1329
Marsh, x -531, y 2541
Willis, x -245, y 2874
Hendrickson, x -227, y 2856
Jarmon, x -244, y 2845
Terrance, x -167, y 2789
Tumult, x -269, y 2777
Sarah, x -359, y 2828
Carlton, x -419, y 2816
Brinkman, x -400, y 2700
Hume, x -455, y 2692
Breslau, x -496, y 2688
Telmach, x -423, y 2652
Libau, x -507, y 2632
Gosset, x -483, y 2660
Lua Hiler, x -451, y 2596
Hillman, x -176, y 2616
Typer’s Star, x -352, y 2629
Zorester, x -396, y 2573
Lutrell, x -251, y 2568
Posnan, x -363, y 2568
Arendscheldt, x -324, y 2577
Sigma, x -299, y 2564
Creswell, x -335, y 2520
Hera, x -268, y 2532
Saginaw, x -231, y 2496
Psyche, x -316, y 2484
Sachsen, x -467, y 2544
Trellis, x -444, y 2516
Sharon’s Star, x -359, y 2549
Magyar, x -391, y 2529
Schiller, x -415, y 2540
Alizon, x 147, y 2095
Yorik, x 119, y 2186
Minorca, x -100, y 2138
Reevesport, x -117, y 2273
Reiko, x 155, y 2268
Hannah’s Star, x 172, y 2397
Gemini, x 191, y 2450
Aphid, x 323, y 2565
Nuada, x 269, y 2422
Yalta, x 304, y 2389
Santander, x 325, y 2330
Suchien, x 255, y 2310
Poicters, x 335, y 2229
Minette, x 376, y 1961
Quentin, x 291, y 1896
Talbot, x 410, y 2217
Chelsea, x 367, y 2154
Mendoza, x 308, y 2180
Seaford 9, x 240, y 2221
Hancock, x 215, y 2193
Zanzibar, x 219, y 2149
Klein Station, x 294, y 2129
Talisman, x 212, y 2087
Endicott, x 264, y 2065
Clairmont, x 416, y 2094
Quest, x 440, y 2054
Candor, x 339, y 1991
Yeltsin, x 263, y 2025
Clearway, x 224, y 1999
Zuckerman, x 260, y 1965
Doreas, x 328, y 1933
Grendelsbane, x 377, y 1885
Cerberus, x 916, y 2837
Hallman, x 1001, y 2456
Tahlman, x 924, y 2372
Samson, x 704, y 2273
Solan, x 869, y 2273
Macgregor, x 800, y 2245
Owens, x 733, y 2232
Mylar, x 736, y 2201
Barnett, x 764, y 2224
Seljuk, x 572, y 2281
Madras, x 604, y 2233
Sallah, x 512, y 2180
Corrigan, x 603, y 2156
Mathias, x 664, y 2092
Adler, x 548, y 2097
Micah, x 561, y 2069
Tredway, x 568, y 2017
Solway, x 572, y 1889
Elric, x 564, y 1960
Allman, x 712, y 2040
Welladay, x 776, y 2145
Gualt, x 913, y 2244
Seabring, x 956, y 2360
Michael, x 1013, y 2408
Elf, x 1073, y 2440
Tambourin, x 1095, y 2537
Gaston, x 985, y 2573
Joust, x 941, y 2517
Tequilla, x 984, y 2429
Secour, x 752, y 2464
Maastricht, x 860, y 2393
Thetis, x 829, y 2329
Lowell, x 733, y 2369
Sun-Yat, x 660, y 2325
Trevor’s Star, x 911, y 2331
Gregor, x -410, y 2199
Casca, x 637, y 2077
Silesia, x -315, y 2662
Basilisk, x 246, y 2831
Slocum, x 210, y 2343
Haven, x 1145, y 2590
Manticore, x 172, y 2019
Sol, x 0, y 0
Lynx B (Terminus), x -1153, y 51
Monica, x -2023, y -133
Mesa, x -780, y -591
Hennesy, x 2473, y 501
Terra Haute, x 2537, y 467
Erewhon, x 1543, y 1573
Joshua, x 476, y -377
Sigma Draconis, x 17, y 141
Durandel, x -600, y 2147
Asgard, x -1088, y 1479
Rasmussen, x -938, y 1414
Midgard, x -1663, y 2430
Meyers, x -2160, y -399
Taylor, x -2061, y -184
Zale, x -2254, y -69
Howard, x -1791, y -249
Saltash, x -1290, y -356
Lima, x 583, y 501
Sankar, x 360, y 630
Ajax, x 1316, y 587
Dockhorn, x 1556, y 591
Meroa, x 1363, y 776
Johannsen, x 1196, y 763
Limbo, x 952, y 694
Sherkhan, x 836, y 819
Alt, x 1016, y 939
Theron, x 776, y 994
Okada, x 532, y 934
Basra, x 716, y 1166
Degenhart, x 956, y 1281
Tiberian, x 1055, y 1410
Kay, x 1192, y 1526
Congo, x 1432, y 1633
Sprague, x 1427, y 1410
Poul, x 1380, y 1234
Edwin, x 1509, y 1101
Maya, x 1552, y 1333
Isaac, x 1770, y 1470
Murray, x 1830, y 1187
Robert, x 1715, y 1123
Foshee, x -981, y 703
Portillo, x -1431, y 1346
Chomanand, x -1971, y 1221
Tyrel, x -2340, y 969
Osmani, x -2425, y 1204
Corovic, x -2203, y 1329
Marsh, x -531, y 2541
Willis, x -245, y 2874
Hendrickson, x -227, y 2856
Jarmon, x -244, y 2845
Terrance, x -167, y 2789
Tumult, x -269, y 2777
Sarah, x -359, y 2828
Carlton, x -419, y 2816
Brinkman, x -400, y 2700
Hume, x -455, y 2692
Breslau, x -496, y 2688
Telmach, x -423, y 2652
Libau, x -507, y 2632
Gosset, x -483, y 2660
Lua Hiler, x -451, y 2596
Hillman, x -176, y 2616
Typer’s Star, x -352, y 2629
Zorester, x -396, y 2573
Lutrell, x -251, y 2568
Posnan, x -363, y 2568
Arendscheldt, x -324, y 2577
Sigma, x -299, y 2564
Creswell, x -335, y 2520
Hera, x -268, y 2532
Saginaw, x -231, y 2496
Psyche, x -316, y 2484
Sachsen, x -467, y 2544
Trellis, x -444, y 2516
Sharon’s Star, x -359, y 2549
Magyar, x -391, y 2529
Schiller, x -415, y 2540
Alizon, x 147, y 2095
Yorik, x 119, y 2186
Minorca, x -100, y 2138
Reevesport, x -117, y 2273
Reiko, x 155, y 2268
Hannah’s Star, x 172, y 2397
Gemini, x 191, y 2450
Aphid, x 323, y 2565
Nuada, x 269, y 2422
Yalta, x 304, y 2389
Santander, x 325, y 2330
Suchien, x 255, y 2310
Poicters, x 335, y 2229
Minette, x 376, y 1961
Quentin, x 291, y 1896
Talbot, x 410, y 2217
Chelsea, x 367, y 2154
Mendoza, x 308, y 2180
Seaford 9, x 240, y 2221
Hancock, x 215, y 2193
Zanzibar, x 219, y 2149
Klein Station, x 294, y 2129
Talisman, x 212, y 2087
Endicott, x 264, y 2065
Clairmont, x 416, y 2094
Quest, x 440, y 2054
Candor, x 339, y 1991
Yeltsin, x 263, y 2025
Clearway, x 224, y 1999
Zuckerman, x 260, y 1965
Doreas, x 328, y 1933
Grendelsbane, x 377, y 1885
Cerberus, x 916, y 2837
Hallman, x 1001, y 2456
Tahlman, x 924, y 2372
Samson, x 704, y 2273
Solan, x 869, y 2273
Macgregor, x 800, y 2245
Owens, x 733, y 2232
Mylar, x 736, y 2201
Barnett, x 764, y 2224
Seljuk, x 572, y 2281
Madras, x 604, y 2233
Sallah, x 512, y 2180
Corrigan, x 603, y 2156
Mathias, x 664, y 2092
Adler, x 548, y 2097
Micah, x 561, y 2069
Tredway, x 568, y 2017
Solway, x 572, y 1889
Elric, x 564, y 1960
Allman, x 712, y 2040
Welladay, x 776, y 2145
Gualt, x 913, y 2244
Seabring, x 956, y 2360
Michael, x 1013, y 2408
Elf, x 1073, y 2440
Tambourin, x 1095, y 2537
Gaston, x 985, y 2573
Joust, x 941, y 2517
Tequilla, x 984, y 2429
Secour, x 752, y 2464
Maastricht, x 860, y 2393
Thetis, x 829, y 2329
Lowell, x 733, y 2369
Sun-Yat, x 660, y 2325
Trevor’s Star, x 911, y 2331
Gregor, x -410, y 2199
Casca, x 637, y 2077
Silesia, x -315, y 2662
Basilisk, x 246, y 2831
Slocum, x 210, y 2343
Haven, x 1145, y 2590
Manticore, x 172, y 2019
Sol, x 0, y 0
Lynx B (Terminus), x -1153, y 51
Monica, x -2023, y -133
Mesa, x -780, y -591
Hennesy, x 2473, y 501
Terra Haute, x 2537, y 467
Erewhon, x 1543, y 1573
Joshua, x 476, y -377
Sigma Draconis, x 17, y 141
Durandel, x -600, y 2147
Asgard, x -1088, y 1479
Rasmussen, x -938, y 1414
Midgard, x -1663, y 2430
Meyers, x -2160, y -399
Taylor, x -2061, y -184
Zale, x -2254, y -69
Howard, x -1791, y -249
Saltash, x -1290, y -356
Lima, x 583, y 501
Sankar, x 360, y 630
Ajax, x 1316, y 587
Dockhorn, x 1556, y 591
Meroa, x 1363, y 776
Johannsen, x 1196, y 763
Limbo, x 952, y 694
Sherkhan, x 836, y 819
Alt, x 1016, y 939
Theron, x 776, y 994
Okada, x 532, y 934
Basra, x 716, y 1166
Degenhart, x 956, y 1281
Tiberian, x 1055, y 1410
Kay, x 1192, y 1526
Congo, x 1432, y 1633
Sprague, x 1427, y 1410
Poul, x 1380, y 1234
Edwin, x 1509, y 1101
Maya, x 1552, y 1333
Isaac, x 1770, y 1470
Murray, x 1830, y 1187
Robert, x 1715, y 1123
Foshee, x -981, y 703
Portillo, x -1431, y 1346
Chomanand, x -1971, y 1221
Tyrel, x -2340, y 969
Osmani, x -2425, y 1204
Corovic, x -2203, y 1329
Marsh, x -531, y 2541
Willis, x -245, y 2874
Hendrickson, x -227, y 2856
Jarmon, x -244, y 2845
Terrance, x -167, y 2789
Tumult, x -269, y 2777
Sarah, x -359, y 2828
Carlton, x -419, y 2816
Brinkman, x -400, y 2700
Hume, x -455, y 2692
Breslau, x -496, y 2688
Telmach, x -423, y 2652
Libau, x -507, y 2632
Gosset, x -483, y 2660
Lua Hiler, x -451, y 2596
Hillman, x -176, y 2616
Typer’s Star, x -352, y 2629
Zorester, x -396, y 2573
Lutrell, x -251, y 2568
Posnan, x -363, y 2568
Arendscheldt, x -324, y 2577
Sigma, x -299, y 2564
Creswell, x -335, y 2520
Hera, x -268, y 2532
Saginaw, x -231, y 2496
Psyche, x -316, y 2484
Sachsen, x -467, y 2544
Trellis, x -444, y 2516
Sharon’s Star, x -359, y 2549
Magyar, x -391, y 2529
Schiller, x -415, y 2540
Alizon, x 147, y 2095
Yorik, x 119, y 2186
Minorca, x -100, y 2138
Reevesport, x -117, y 2273
Reiko, x 155, y 2268
Hannah’s Star, x 172, y 2397
Gemini, x 191, y 2450
Aphid, x 323, y 2565
Nuada, x 269, y 2422
Yalta, x 304, y 2389
Santander, x 325, y 2330
Suchien, x 255, y 2310
Poicters, x 335, y 2229
Minette, x 376, y 1961
Quentin, x 291, y 1896
Talbot, x 410, y 2217
Chelsea, x 367, y 2154
Mendoza, x 308, y 2180
Seaford 9, x 240, y 2221
Hancock, x 215, y 2193
Zanzibar, x 219, y 2149
Klein Station, x 294, y 2129
Talisman, x 212, y 2087
Endicott, x 264, y 2065
Clairmont, x 416, y 2094
Quest, x 440, y 2054
Candor, x 339, y 1991
Yeltsin, x 263, y 2025
Clearway, x 224, y 1999
Zuckerman, x 260, y 1965
Doreas, x 328, y 1933
Grendelsbane, x 377, y 1885
Cerberus, x 916, y 2837
Hallman, x 1001, y 2456
Tahlman, x 924, y 2372
Samson, x 704, y 2273
Solan, x 869, y 2273
Macgregor, x 800, y 2245
Owens, x 733, y 2232
Mylar, x 736, y 2201
Barnett, x 764, y 2224
Seljuk, x 572, y 2281
Madras, x 604, y 2233
Sallah, x 512, y 2180
Corrigan, x 603, y 2156
Mathias, x 664, y 2092
Adler, x 548, y 2097
Micah, x 561, y 2069
Tredway, x 568, y 2017
Solway, x 572, y 1889
Elric, x 564, y 1960
Allman, x 712, y 2040
Welladay, x 776, y 2145
Gualt, x 913, y 2244
Seabring, x 956, y 2360
Michael, x 1013, y 2408
Elf, x 1073, y 2440
Tambourin, x 1095, y 2537
Gaston, x 985, y 2573
Joust, x 941, y 2517
Tequilla, x 984, y 2429
Secour, x 752, y 2464
Maastricht, x 860, y 2393
Thetis, x 829, y 2329
Lowell, x 733, y 2369
Sun-Yat, x 660, y 2325
Trevor’s Star, x 911, y 2331
Gregor, x -410, y 2199
Casca, x 637, y 2077
Silesia, x -315, y 2662
Basilisk, x 246, y 2831
Slocum, x 210, y 2343
Haven, x 1145, y 2590
Manticore, x 172, y 2019
