Adler, x 548, y 2097
1XRS 3548+139, x 243, y 2508
1XRS 3586+151, x -1012, y -54
1XRS 3665+833, x -1307, y 1962
1XRS 38521+855, x -1189, y -182
1XRS 3929+345, x 2011, y 435
1XRS 39853+951, x -689, y 2551
1XRS 4172+236, x 915, y 2238
1XRS 4424+677, x -1666, y 1374
1XRS 4726+769, x 986, y 2292
1XRS 47794+131, x 268, y 1389
1XRS 5348+972, x 460, y 3028
1XRS 5371+814, x 2379, y 274
1XRS 53755+689, x -1300, y 2317
1XRS 546868+133, x 802, y 2525
1XRS 55492+851, x 1520, y 2370
1XRS 5612+163, x -251, y 487
1XRS 61276+611, x -1534, y 1751
1XRS 6422+361, x 309, y 1098
1XRS 674666+764, x 1935, y 275
1XRS 69566+136, x 952, y 1519
1XRS 6983+353, x -892, y 748
1XRS 7142+687, x -320, y -493
1XRS 7252+858, x 1486, y 2036
1XRS 74238+373, x -600, y 1723
1XRS 7573+998, x -652, y 1157
1XRS 7723+796, x 983, y 2421
1XRS 773291+945, x -1270, y 1221
1XRS 7878+935, x -73, y -303
1XRS 8378+528, x 780, y 2988
1XRS 87161+633, x 772, y -124
1XRS 878763+573, x -177, y 105
1XRS 886379+758, x -752, y 273
1XRS 9213+245, x 714, y 726
1XRS 9234+933, x -1931, y 2105
1XRS 9263+187, x 1974, y 887
1XRS 933323+715, x -704, y 2266
1XRS 938128+158, x 2593, y 288
1XRS 99834+754, x -726, y 1020
1XRS 9984+782, x 1193, y 2841
1XRS 999334+198, x -587, y 1901
2MASS J17983861+ 9888124, x 1689, y 2828
2MASS J23572884+ 7688871, x 1489, y 2890
2MASS J25619339+ 2539256, x -126, y -501
2MASS J26321694+ 4715256, x 1167, y -442
2MASS J28953141+ 1925983, x 2307, y 1088
2MASS J29126584+ 4649458, x 89, y 2379
2MASS J29297792+ 6233184, x 492, y 2274
2MASS J29353549+ 6267293, x -341, y 671
2MASS J32485219+ 8959148, x 1564, y 883
2MASS J36255449+ 1445594, x -1555, y 1279
2MASS J36414412+ 5818989, x -725, y 445
2MASS J37171458+ 9745226, x 1014, y 2178
2MASS J37216592+ 8262325, x 1005, y 2137
2MASS J38188919+ 4344573, x 248, y 498
2MASS J38358385+ 5195736, x 428, y 2034
2MASS J38415738+ 2742148, x 604, y -558
2MASS J41237275+ 4643869, x 1754, y 995
2MASS J41452758+ 7248259, x -969, y 2489
2MASS J42137416+ 4354596, x 1155, y 1381
2MASS J42678126+ 6643595, x 1308, y 2864
2MASS J46615669+ 6438833, x -540, y 83
2MASS J46761748+ 5346863, x 832, y 1658
2MASS J46763136+ 2133537, x 2079, y 21
2MASS J53341816+ 4965435, x 420, y 1977
2MASS J54867494+ 3722341, x 219, y 2331
2MASS J55755931+ 8357257, x 738, y 2221
2MASS J55985342+ 5752373, x -653, y 2453
2MASS J56754472+ 5221721, x -1349, y 1663
2MASS J56884926+ 7257135, x 728, y 2593
2MASS J57953711+ 1293684, x -667, y 501
2MASS J58672285+ 8139583, x 53, y 1196
2MASS J63845458+ 8823292, x -1211, y 2435
2MASS J64571712+ 6124546, x -538, y 230
2MASS J65948429+ 3928725, x 121, y 621
2MASS J67789534+ 4342183, x 285, y 2253
2MASS J69179729+ 4265329, x 406, y 989
2MASS J72194919+ 7324137, x -346, y 647
2MASS J72577772+ 8449543, x -169, y 2696
2MASS J74689321+ 3516686, x 1456, y 190
2MASS J75939925+ 6927963, x -725, y 2893
2MASS J76837581+ 7933354, x -415, y 1683
2MASS J81973745+ 7796839, x -933, y -575
2MASS J84522559+ 6262293, x 1939, y 661
2MASS J85246448+ 5331591, x 296, y 1813
2MASS J87676443+ 7594252, x 936, y 1780
2MASS J87699485+ 9158256, x 1862, y 169
2MASS J87793731+ 6287512, x 1499, y 379
2MASS J91748675+ 8698519, x -1489, y 2556
2MASS J94483726+ 9123141, x 1834, y 669
2MASS J98198933+ 4245549, x 53, y 1637
2MASS J99256323+ 7196321, x -1469, y 2626
2MASS J99451366+ 6897979, x -515, y 537
2MASS J99676452+ 1729946, x 1534, y 171
3A 1212+731, x -683, y 1081
3A 1684+976, x -529, y 2209
3A 1699+123, x -534, y 957
3A 1789+619, x -150, y 450
3A 2268+367, x 1524, y -39
3A 2489+972, x -791, y 2214
3A 2621+577, x -1186, y -197
3A 2691+392, x -1682, y 2628
3A 3153+753, x 566, y 4
3A 3194+673, x 317, y 2365
3A 3259+962, x -289, y 866
3A 3414+595, x -106, y 3091
3A 3486+846, x 1760, y 1363
3A 3518+268, x 1047, y 2686
3A 4311+729, x -32, y -307
3A 4429+456, x -1613, y 2686
3A 4688+152, x 2249, y -305
3A 4724+285, x 42, y -387
3A 4852+849, x 372, y 388
3A 4936+488, x 1370, y 1056
3A 5146+243, x 1276, y 1813
3A 5348+546, x 707, y 2494
3A 5453+537, x 883, y 552
3A 5513+247, x -1330, y 2454
3A 5763+713, x -927, y 1486
3A 5885+665, x 325, y 1475
3A 6135+563, x 972, y 663
3A 6146+975, x 668, y 1934
3A 6238+359, x -334, y 1586
3A 6569+822, x 996, y 449
3A 6754+762, x 789, y 51
3A 6978+311, x 2487, y 541
3A 7169+277, x 458, y 2071
3A 7172+261, x 658, y 2001
3A 7416+159, x 677, y 2742
3A 7422+784, x 2313, y 795
3A 7556+334, x -1150, y -436
3A 7559+247, x 2021, y -240
3A 7757+189, x 327, y -587
3A 7827+271, x -53, y 2571
3A 7866+298, x 6, y 546
3A 7945+686, x 321, y 1569
3A 8536+956, x 854, y 2477
3A 8818+495, x -577, y 601
3A 8985+887, x -386, y 1074
3A 9215+186, x 1520, y 1649
3A 9239+236, x 1003, y 140
3A 9349+871, x 2024, y 1006
3A 9541+425, x -74, y -411
3A 9575+667, x -679, y 1892
3A 9629+999, x -1587, y 2623
3A 9647+565, x 1606, y -35
3A 9677+573, x 2125, y -174
3A 9745+875, x -729, y 2827
AG+17 8352, x 897, y 2377
AG+18 1647, x 1382, y 87
AG+19 2494, x -579, y 2741
AG+22 1848, x -976, y 2589
AG+23 2454, x 1761, y 2365
AG+23 9394, x -1135, y 2416
AG+23 9933, x 875, y -708
AG+24 2586, x 2012, y 115
AG+27 7238, x 1306, y 383
AG+34 6581, x 869, y 430
AG+42 5479, x 9, y 408
AG+42 5822, x 790, y 2424
AG+42 7996, x -189, y -685
AG+43 5996, x 1307, y -64
AG+43 7694, x -489, y 2510
AG+46 6989, x -311, y -597
AG+47 3534, x 1635, y 324
AG+52 7516, x -1643, y 1765
AG+53 3645, x 315, y 2043
AG+55 5414, x 384, y -348
AG+56 7167, x 933, y 2760
AG+57 2415, x -865, y 1402
AG+62 5425, x 1854, y -42
AG+62 9986, x 1234, y 2637
AG+64 2831, x -1710, y 1323
AG+64 8795, x 1257, y 1575
AG+68 1768, x 1609, y 40
AG+72 8883, x -956, y 2675
AG+79 1637, x 1033, y 2792
AG+79 3112, x 1, y 337
AG+79 5858, x 329, y -166
AG+83 1437, x -447, y 1452
AG+84 3979, x -130, y -671
AG+88 7879, x -1417, y 1237
AG+89 4328, x 910, y 505
AG+89 5849, x 1762, y 39
AG+89 6574, x 1627, y 2596
AG+92 2739, x -94, y -287
AG+94 8669, x 315, y 2479
AG+95 6164, x -1399, y 2532
AG+96 7244, x 299, y 465
AG+99 6649, x -1727, y 1727
BD+13 2464, x -487, y 2787
BD+16 9248, x 712, y 456
BD+16 9753, x 1285, y 1423
BD+18 9251, x -65, y 1376
BD+25 3145, x -402, y 595
BD+31 3666, x 28, y 2617
BD+35 2671, x -623, y 2513
BD+36 1759, x -1497, y 1209
BD+36 4138, x -38, y 907
BD+38 5682, x -755, y 1202
BD+39 3214, x -1452, y 1686
BD+39 8641, x 806, y 1904
BD+41 7881, x 1260, y 467
BD+43 5844, x 109, y 2219
BD+43 6338, x -376, y 244
BD+46 3965, x 408, y 2279
BD+46 7728, x 1729, y 331
BD+48 1921, x 1584, y -87
BD+54 1532, x 755, y 2146
BD+54 6976, x -1252, y 2714
BD+54 9945, x -310, y 803
BD+57 3216, x 1031, y 179
BD+57 8258, x 1323, y 2308
BD+58 2261, x -88, y -433
BD+59 5168, x -1498, y 1397
BD+59 9859, x 1496, y 2236
BD+62 1821, x 238, y 2185
BD+63 4496, x 383, y 2232
BD+63 5996, x 207, y 531
BD+64 3199, x 1248, y 2207
BD+68 2586, x 1096, y 1603
BD+69 3135, x 634, y 2337
BD+71 8368, x 2380, y 394
BD+72 8118, x -379, y 1316
BD+73 8717, x 303, y 1571
BD+74 9178, x 1962, y 701
BD+75 8353, x 728, y 2379
BD+76 1862, x -973, y 1693
BD+77 7878, x -1092, y -337
BD+78 2355, x -977, y 2103
BD+82 5648, x 878, y 331
BD+82 5998, x -686, y 2370
BD+85 1313, x -988, y 2139
BD+87 8984, x 2044, y 782
BD+88 2679, x -1395, y 1323
BD+93 3546, x -1590, y 1345
BD+94 4244, x -1325, y 1101
BD+96 7775, x 1328, y 2613
GSC 12122-63157, x -706, y 401
GSC 13265-68478, x -802, y 1979
GSC 14842-91575, x -1399, y 1126
GSC 14865-34928, x 279, y -321
GSC 17922-12189, x -700, y 598
GSC 19825-84648, x 954, y 383
GSC 23658-48227, x 1620, y 3039
GSC 23678-19716, x 1100, y 2626
GSC 24131-29442, x 1153, y 1198
GSC 24546-14161, x -255, y 592
GSC 26214-49721, x 375, y 2713
GSC 26377-16126, x 357, y -622
GSC 27151-64238, x 2168, y 1422
GSC 28865-37269, x -1902, y 1100
GSC 29242-59154, x 289, y 556
GSC 31898-78375, x 1604, y 2690
GSC 36482-39633, x 719, y 2439
GSC 36636-72238, x -1955, y 2570
GSC 38196-79814, x -1396, y 2367
GSC 39791-43246, x -5, y 1589
GSC 41417-92873, x 1331, y 126
GSC 43649-38127, x -1002, y 2050
GSC 44553-94186, x 731, y 208
GSC 45326-33521, x -617, y -211
GSC 46664-13544, x 2010, y 1423
GSC 48577-26927, x -77, y 2403
GSC 51317-66921, x 1640, y 790
GSC 53456-34422, x -1507, y 941
GSC 53848-26147, x 542, y 1377
GSC 57157-67892, x 771, y 578
GSC 57956-92191, x 465, y -672
GSC 57961-22726, x -652, y 1330
GSC 59694-66411, x -478, y 2563
GSC 68572-26442, x -222, y 1467
GSC 72461-36522, x -31, y 2591
GSC 86453-19131, x 1780, y 867
GSC 86997-67232, x -235, y 967
GSC 92682-32663, x 450, y 688
GSC 95488-45443, x 1052, y 637
H 1171+ 149, x -302, y 1190
H 1291+ 937, x -302, y 2315
H 1636+ 287, x 671, y 2289
H 2187+ 694, x -709, y 3115
H 2218+ 869, x -402, y 1626
H 2629+ 497, x 1774, y -3
H 2694+ 223, x 18, y 478
H 3475+ 856, x 885, y 2048
H 366+ 926, x -63, y 900
H 3743+ 792, x 783, y 2126
H 4222+ 498, x 1954, y 207
H 428+ 138, x 1082, y 2456
H 4433+ 245, x 877, y 663
H 472+ 173, x -351, y 1006
H 521+ 163, x -1170, y 2725
H 5442+ 954, x -1237, y 2916
H 566+ 357, x 2202, y 328
H 5977+ 569, x 800, y 454
H 599+ 486, x 854, y 2835
H 625+ 211, x 946, y 2919
H 634+ 942, x 35, y 2561
H 6672+ 787, x -1380, y 2093
H 6723+ 954, x 212, y 2772
H 691+ 628, x -155, y 557
H 7137+ 357, x 630, y 2151
H 715+ 891, x 857, y 2190
H 744+ 652, x 2208, y 440
H 769+ 658, x 1532, y 226
H 769+ 981, x 1735, y 1763
H 7862+ 958, x -159, y 1041
H 825+ 169, x -1691, y 2354
H 8383+ 927, x -202, y 2819
H 844+ 759, x -408, y 2528
H 8661+ 662, x -1294, y -558
H 8844+ 277, x -147, y 17
H 926+ 527, x -1490, y -404
H 942+ 665, x -59, y 2304
H 9569+ 598, x -269, y -202
H 965+ 313, x -611, y -96
H 9691+ 375, x -967, y 1490
H 977+ 887, x 699, y 1660
HD 1273, x -1556, y 1831
HD 13913, x -231, y 419
HD 17267, x -1689, y 1807
HD 187172, x 1296, y 1121
HD 2144, x 704, y 1826
HD 23241, x -1106, y 2336
HD 2499, x 1660, y 932
HD 252828, x 861, y 2290
HD 262171, x -1233, y 1835
HD 337186, x -118, y -518
HD 3422, x 803, y -50
HD 3578, x 2235, y 491
HD 3858, x -1582, y 1213
HD 38666, x -852, y 1109
HD 42495, x 1554, y 2663
HD 4328, x -761, y 2046
HD 4385, x 569, y 1009
HD 44394, x -1601, y 2793
HD 446252, x 1227, y 88
HD 4472, x -124, y -623
HD 4688, x -291, y 1461
HD 475814, x -253, y 1960
HD 4893, x -1020, y 2010
HD 51683, x 569, y 2562
HD 526389, x 1051, y 2927
HD 5392, x 764, y 373
HD 559638, x -533, y 1192
HD 5722, x 881, y 1942
HD 586614, x 750, y 2482
HD 623211, x 1389, y 1320
HD 657163, x 1439, y 2286
HD 67415, x 1162, y 221
HD 689228, x -377, y 1555
HD 6967, x -703, y 1981
HD 731625, x 993, y 2576
HD 79645, x -920, y -564
HD 82919, x 1485, y 1074
HD 8535, x 824, y 174
HD 895745, x -1714, y 1225
HD 9465, x -1038, y 352
HD 961853, x -1640, y 1140
HD 9656, x 1405, y 1553
HD 985936, x -1316, y 1416
HIC 11945, x -1431, y 1308
HIC 1239, x 1464, y 2525
HIC 1266, x 751, y 107
HIC 12773, x -475, y 1267
HIC 1292, x -806, y 1711
HIC 1497, x 309, y 1961
HIC 16499, x 12, y -356
HIC 1698, x -1541, y 2138
HIC 17558, x 587, y 2237
HIC 19888, x 1672, y 611
HIC 22185, x 233, y -672
HIC 24595, x -887, y 1623
HIC 27911, x 419, y 522
HIC 28668, x 396, y 497
HIC 32765, x 232, y 2232
HIC 3297, x -1541, y 2397
HIC 35118, x 958, y 2366
HIC 3583, x 1015, y 378
HIC 3627, x -747, y 2383
HIC 36627, x -1114, y 2544
HIC 38365, x 1796, y -106
HIC 42324, x -775, y 943
HIC 42999, x 1059, y 2580
HIC 4382, x -1197, y -341
HIC 46139, x 1341, y 2967
HIC 4693, x -274, y -475
HIC 47766, x 70, y 1829
HIC 53199, x 1956, y 372
HIC 54414, x -1033, y 1049
HIC 55431, x 1808, y 1048
HIC 5592, x 1197, y 363
HIC 56274, x -590, y 335
HIC 5685, x -1019, y -271
HIC 57869, x 679, y 2202
HIC 58514, x 1591, y 411
HIC 63816, x -395, y 2689
HIC 6418, x -162, y 899
HIC 66934, x 1403, y 2389
HIC 6941, x 653, y 859
HIC 7116, x 1087, y 1113
HIC 7326, x 834, y 2289
HIC 73672, x -482, y 1747
HIC 74871, x 1291, y 788
HIC 78477, x 1009, y -475
HIC 82924, x 574, y 244
HIC 8499, x -64, y 265
HIC 8566, x 1047, y 2492
HIC 86625, x -1075, y 1538
HIC 8958, x -625, y 2408
HIC 93697, x 567, y 1786
HIC 93957, x -1832, y -363
HIC 94119, x -114, y 392
HIC 94366, x 955, y 2801
HIC 96678, x -39, y 1476
Hilt 132, x -1489, y 2857
Hilt 142, x 1157, y 1111
Hilt 173, x -1503, y 1132
Hilt 174, x 136, y 670
Hilt 182, x -938, y 2377
Hilt 193, x -1670, y 1828
Hilt 235, x -815, y 1532
Hilt 286, x -1158, y 1519
Hilt 316, x 702, y 279
Hilt 366, x 897, y -360
Hilt 368, x -1622, y 2271
Hilt 396, x -615, y 1056
Hilt 417, x 427, y 555
Hilt 433, x 2703, y 325
Hilt 439, x -759, y 106
Hilt 452, x 1827, y 816
Hilt 465, x 172, y 257
Hilt 477, x -1654, y 1932
Hilt 495, x 191, y 735
Hilt 545, x -323, y 1673
Hilt 554, x 1354, y 29
Hilt 563, x 558, y 1194
Hilt 571, x -18, y -8
Hilt 598, x -220, y 2484
Hilt 613, x 352, y 2011
Hilt 615, x -57, y 2120
Hilt 624, x -587, y 2628
Hilt 636, x -1239, y 2112
Hilt 638, x 347, y -108
Hilt 655, x 639, y 2117
Hilt 663, x 1665, y 16
Hilt 673, x 10, y -293
Hilt 697, x 212, y 2697
Hilt 699, x 620, y 2688
Hilt 756, x 1606, y 1912
Hilt 762, x -3, y 611
Hilt 787, x 1898, y 843
Hilt 812, x 82, y 3052
Hilt 816, x 433, y -350
Hilt 832, x 291, y 2197
Hilt 848, x 1880, y -142
Hilt 852, x 1506, y 2907
Hilt 887, x -1221, y 2679
Hilt 915, x 515, y 2825
Hilt 923, x 476, y 1781
Hilt 937, x 1137, y 2596
Hilt 944, x 1169, y 684
Hilt 983, x 1593, y 1283
Hilt 985, x -154, y 1472
SAO 11116, x 1566, y 2544
SAO 11766, x 1573, y 1136
SAO 13754, x 1827, y 68
SAO 14473, x 730, y 2419
SAO 15588, x 938, y 2328
SAO 17692, x -1071, y 2650
SAO 17964, x 1252, y -484
SAO 19594, x -1086, y 1962
SAO 19866, x -900, y 2002
SAO 21661, x 228, y 380
SAO 22357, x 1058, y -425
SAO 25267, x 933, y 2444
SAO 31148, x -547, y 2131
SAO 36291, x 1000, y 948
SAO 38884, x -621, y -436
SAO 39373, x 1942, y 28
SAO 39682, x 699, y 2699
SAO 42198, x -1660, y 2163
SAO 42954, x 1411, y -127
SAO 43455, x -1694, y 2373
SAO 51482, x 1135, y 2493
SAO 54564, x -350, y 1432
SAO 55491, x 2427, y 47
SAO 62216, x 1157, y -150
SAO 63624, x 350, y -521
SAO 65149, x 1733, y -60
SAO 66583, x -314, y 2124
SAO 67992, x -513, y 1783
SAO 69881, x 1665, y 229
SAO 71937, x -1450, y 2825
SAO 72212, x -1357, y -22
SAO 74187, x 316, y 2277
SAO 77425, x 983, y 2714
SAO 77484, x 1445, y 108
SAO 77843, x 364, y 2808
SAO 79752, x 63, y 1442
SAO 79869, x 1198, y 601
SAO 84697, x -1619, y 1923
SAO 84877, x -479, y 1063
SAO 85698, x -1003, y 1551
SAO 85741, x 1737, y 860
SAO 85924, x 502, y 2145
SAO 92367, x -1168, y 2837
SAO 93926, x -733, y 2475
SAO 94829, x 472, y 1929
SAO 95456, x -1005, y -468
SAO 99149, x -992, y 2826
SBC7 113, x 1309, y 2752
SBC7 114, x 1631, y 2314
SBC7 115, x -1786, y 1495
SBC7 118, x 1352, y 2558
SBC7 121, x -528, y 596
SBC7 122, x 2217, y 231
SBC7 154, x 373, y 251
SBC7 158, x 1058, y 810
SBC7 173, x 66, y 586
SBC7 231, x -567, y 2583
SBC7 258, x -455, y 1817
SBC7 288, x -188, y 2395
SBC7 325, x -1624, y 1751
SBC7 342, x 368, y 2180
SBC7 348, x -1003, y -288
SBC7 373, x 771, y 2333
SBC7 379, x 306, y 1195
SBC7 391, x 2585, y 156
SBC7 393, x 2252, y 508
SBC7 394, x -1693, y 1885
SBC7 399, x -334, y 1122
SBC7 413, x -382, y 2319
SBC7 416, x 2388, y 447
SBC7 434, x -339, y 736
SBC7 442, x 430, y -552
SBC7 445, x 2169, y 1121
SBC7 516, x 561, y -84
SBC7 547, x 222, y -431
SBC7 549, x -1673, y 1951
SBC7 571, x 1472, y 550
SBC7 582, x -181, y 126
SBC7 621, x -808, y 2390
SBC7 627, x -856, y 2291
SBC7 675, x 1388, y 2073
SBC7 687, x 126, y 1638
SBC7 694, x 296, y 2138
SBC7 721, x 1158, y 1599
SBC7 783, x 1025, y 2415
SBC7 838, x -498, y 2241
SBC7 848, x -1255, y 2560
SBC7 852, x -1077, y 2869
SBC7 858, x 468, y 2011
SBC7 885, x -558, y 844
SBC7 896, x 1160, y 94
SBC7 916, x 902, y 862
SBC7 918, x -1166, y -309
SBC7 927, x 1196, y 1270
SBC7 955, x 129, y 54
SBC7 959, x 1938, y 104
SBC7 973, x 1621, y -305
SBC7 996, x -153, y 1872
SBC9 1311, x 1697, y 256
SBC9 1549, x 2172, y 244
SBC9 1772, x 1734, y 719
SBC9 1939, x 802, y 1427
SBC9 2181, x 2367, y -19
SBC9 2422, x 1515, y 2434
SBC9 2679, x -1175, y 831
SBC9 2798, x 948, y -537
SBC9 2827, x -796, y 1997
SBC9 2937, x 1853, y 1715
SBC9 2989, x 1773, y 1975
SBC9 3117, x 528, y 2105
SBC9 3247, x 1362, y 2505
SBC9 3341, x 1030, y 2622
SBC9 3439, x 353, y 2443
SBC9 3617, x -58, y 1596
SBC9 3633, x -1574, y 1929
SBC9 4194, x -448, y -444
SBC9 4232, x -1155, y 2944
SBC9 4328, x -284, y 2711
SBC9 4673, x 1565, y 2383
SBC9 4771, x 292, y 261
SBC9 5136, x 986, y 1816
SBC9 5532, x 743, y 2823
SBC9 5876, x -1171, y 2633
SBC9 5883, x -1551, y -301
SBC9 6254, x 1163, y 260
SBC9 6466, x 757, y 1263
SBC9 6742, x -1688, y 2830
SBC9 7147, x 445, y 2206
SBC9 7275, x 274, y 670
SBC9 7492, x 178, y 2987
SBC9 7697, x 854, y 365
SBC9 8861, x 507, y 2554
SBC9 9221, x 1542, y 1089
SBC9 9258, x -1126, y 353
SBC9 9297, x -394, y 2080
SBC9 9599, x 1291, y 2146
SBC9 9659, x 1146, y -433
SBC9 9864, x -1829, y 1684
SBC9 9876, x 1883, y 46
SWIFT J1158.4+6774, x 1407, y 2840
SWIFT J1613.4+4841, x 1012, y -291
SWIFT J1663.4+4177, x 1169, y 2152
SWIFT J1824.4+6844, x 474, y -445
SWIFT J1836.4+2453, x -306, y 2397
SWIFT J2161.4+1188, x 415, y -274
SWIFT J2194.4+2466, x 2271, y 337
SWIFT J2248.4+2965, x -47, y 2184
SWIFT J2937.4+7728, x 825, y 2373
SWIFT J3172.4+2879, x -363, y -151
SWIFT J3245.4+9955, x -772, y 2569
SWIFT J3324.4+4348, x 869, y 2752
SWIFT J3447.4+3857, x -969, y -381
SWIFT J3458.4+9139, x 91, y 326
SWIFT J3717.4+6342, x 1385, y -450
SWIFT J3732.4+2113, x -1092, y 109
SWIFT J3886.4+1632, x 910, y -311
SWIFT J3999.4+2463, x -285, y 1646
SWIFT J4152.4+3121, x -221, y 684
SWIFT J4336.4+3125, x -1492, y -88
SWIFT J4394.4+9544, x 1109, y 2757
SWIFT J4554.4+1982, x -13, y 1662
SWIFT J4658.4+8357, x -248, y -349
SWIFT J4948.4+3779, x -1304, y 2861
SWIFT J4956.4+3741, x -1529, y 1408
